"id","分類","機能名","概要","入力","出力","利用者"
"fun-001","閲覧","言語別トレンド一覧表示","トップページまたは言語選択に基づき、対象言語のトレンドランキング（トップ100）を一覧で表示する。","選択言語（デフォルト: 全言語）","リポジトリのランキング一覧データ（最大100件）","エンジニア"
"fun-002","閲覧","ランキングリポジトリ情報の取得","トレンド一覧表示に必要なリポジトリ名、スター数、フォーク数、概要などの基本情報をデータストアから取得する。","リポジトリIDリスト","リポジトリ基本情報（名前、スター、フォーク、概要）","エンジニア"
"fun-003","閲覧","リポジトリ基本情報のリスト表示","ランキングリストの各項目に、リポジトリ名、概要、スター総数、フォーク総数を表示する。","リポジトリ基本情報データ","整形されたリストビュー","エンジニア"
"fun-004","メトリクス","7日間スター増加数の表示","トレンド一覧の各リポジトリについて、事前計算された過去7日間のスター増加数を表示する。","リポジトリID","7日間スター増加数","テックリード"
"fun-005","メトリクス","30日間スター増加数の表示","トレンド一覧の各リポジトリについて、事前計算された過去30日間のスター増加数を表示する。","リポジトリID","30日間スター増加数","テックリード"
"fun-006","フィルタリング","言語選択UI提供","TypeScript、Pythonなど、定義された言語リストからユーザーがフィルタリング対象の言語を選択できるUIを提供する。","言語リスト","言語選択ドロップダウン/タブ","エンジニア"
"fun-007","フィルタリング","言語フィルタリングの適用","選択された言語に基づき、表示されるトレンドランキングを絞り込む。","選択言語","フィルタリングされたランキングデータ","エンジニア"
"fun-008","ソート","7日間増加率/数によるソート実行","一覧表示データを、過去7日間のスター増加率または増加数に基づきソートする。","ソート基準（7日間増加率/数）","ソート済みランキングデータ","テックリード"
"fun-009","ソート","30日間増加率/数によるソート実行","一覧表示データを、過去30日間のスター増加率または増加数に基づきソートする。","ソート基準（30日間増加率/数）","ソート済みランキングデータ","テックリード"
"fun-010","ソート","スター総数によるソート実行","一覧表示データを、現在のスター総数に基づき降順にソートする。","ソート基準（スター総数）","ソート済みランキングデータ","エンジニア"
"fun-011","詳細閲覧","リポジトリ詳細ページへの遷移","ランキングまたは検索結果から特定のリポジトリの詳細ページURLを生成し、遷移させる。","リポジトリID","リポジトリ詳細ページ","エンジニア"
"fun-012","可視化","過去90日間のスター推移データ取得","指定されたリポジトリについて、過去90日間の日次スター数スナップショットデータを取得する。","リポジトリID","90日間のスター数時系列データ","テックリード"
"fun-013","可視化","スター推移グラフの描画","取得した過去90日間のスター数推移データを折れ線グラフとして詳細ページに描画する。","90日間のスター数時系列データ","折れ線グラフ","テックリード"
"fun-014","情報提供","データスナップショット日時表示","画面上部（またはフッター）に、表示されているデータがGitHubから取得された最終日時（UTC 0:00）を明記する。","最終データ取得日時","日時文字列","ブロガー"
"fun-015","検索","リポジトリ名検索入力フォームの提供","ユーザーがリポジトリ名を入力できる検索UI（インプットボックス）を提供する。","なし","検索入力UI","エンジニア"
"fun-016","検索","リポジトリ名検索実行","入力されたクエリに基づき、リポジトリ名（フルネームまたは部分一致）をデータストアから検索する。","検索クエリ文字列","合致するリポジトリIDリスト","エンジニア"
"fun-017","検索","検索結果一覧の表示","検索クエリに合致したリポジトリを一覧形式で表示する。","合致リポジトリリスト","検索結果一覧ページ","エンジニア"
"fun-018","週別分析","週別トレンドランキングページ表示","週別トレンドランキングを閲覧するための専用ページを表示し、最新週のデータをデフォルトで表示する。","週/年情報（オプション）","週別トレンドランキングページ","ブロガー"
"fun-019","週別分析","指定された週のランキングデータ取得","過去の任意の週（ISO週番号）が選択された際、その週のスター増加数に基づくトップ10ランキングデータを取得する。","年、週番号、言語","週別トップ10ランキングデータ","ブロガー"
"fun-020","週別分析","週別ランキングの言語フィルタリング適用","週別トレンドランキングにおいても、言語フィルタリングを適用し、表示を絞り込む。","選択言語","言語フィルタリングされた週別ランキングデータ","ブロガー"
"fun-021","週別分析","利用可能な過去週リスト取得","データが存在する過去の週（年とISO週番号）の一覧をDBから取得する。","言語（オプション）","年/週番号のリスト","エンジニア"
"fun-022","週別分析","期間選択ナビゲーションUIの提供","利用可能な週リストに基づき、ユーザーが過去の週を容易に選択できるナビゲーション（カレンダーやプルダウン）を提供する。","利用可能な週リスト","期間選択UI","エンジニア"
"fun-023","データ処理","GitHub APIからのリポジトリ情報取得","日次バッチ処理として、追跡対象の全リポジトリの最新スター数、フォーク数、基本情報をGitHub APIから取得する。","リポジトリ名リスト","GitHub APIレスポンスデータ","技術選定者"
"fun-024","データ処理","日次スナップショットデータのDB保存","GitHub APIから取得した最新のスター数などのスナップショットデータを、日付タグを付けてDB（repo_snapshots）に保存する。","GitHub APIレスポンスデータ","DB保存成功ログ","技術選定者"
"fun-025","データ処理","週別トレンド集計ロジックの実行","週の変わり目（月曜未明）に、過去7日間のスナップショットデータに基づき、週単位のスター増加数を計算する。","過去7日間のスナップショットデータ","週別ランキング計算結果","技術選定者"
"fun-026","データ処理","週別集計結果のDB保存","計算した週別トレンドランキング（トップ10）の結果を、週番号、言語と関連付けて専用テーブルに保存する。","週別ランキング計算結果","DB保存成功ログ","技術選定者"
"fun-027","データ処理","7日間/30日間スター増加数/率の計算ロジック実行","日次バッチまたは計算バッチとして、過去7日間および30日間のスター増加数と増加率をリポジトリごとに計算する。","スナップショットデータ","計算済みメトリクス","技術選定者"
"fun-028","データ処理","計算済み増加率のDB保存","計算した7日間および30日間のスター増加数/増加率を、トレンド一覧表示のためにDBに保存する。","計算済みメトリクス","DB保存成功ログ","技術選定者"
"fun-029","UX/非機能","レスポンシブUI実装","スマートフォン、タブレット、PCの各デバイス幅に応じて、レイアウトやナビゲーションを自動的に調整する。","デバイス幅","最適化された画面表示","エンジニア"
"fun-030","認証","GitHub OAuth認証開始リダイレクト","ユーザーがログインボタンを押した際、GitHub OAuth認証フローへリダイレクトする。","ログイン要求","GitHub認証ページ","エンジニア"
"fun-031","認証","OAuthコールバック時のユーザー登録/ログイン処理","GitHubから認証コールバックを受け取り、新規ユーザーの場合は登録、既存ユーザーの場合はログイン処理を行う。","GitHub認証コード","認証トークン、ユーザー情報","エンジニア"
"fun-032","認証","ログインセッションの生成と保持","認証成功後、JWT等を利用してセッションを生成し、ブラウザまたはKVストアに保持することでログイン状態を維持する。","ユーザーID","有効なセッション","エンジニア"
"fun-033","課金/権限","ユーザーの課金プラン情報の登録/更新","サブスクリプション登録またはクレジット購入に応じて、ユーザーテーブルのプラン情報を更新する。","プラン情報、クレジット数","ユーザーDB更新","技術選定者"
"fun-034","課金/権限","機能アクセス権限判定","AI要約閲覧やオンデマンド生成要求など、特定の機能へのアクセス要求時に、ユーザーの課金プランとログイン状態を確認し、アクセス可否を判定する。","ユーザーID, 要求機能","アクセス許可/拒否","技術選定者"
"fun-035","AI機能","AI要約全文の取得と表示（課金ユーザー向け）","課金ユーザーに対して、生成済みのリポジトリAI要約（構造化サマリー）の全文を取得し、スライド形式で表示する。","リポジトリID, ユーザーID（課金判定済み）","AI要約スライド全文","テックリード"
"fun-036","AI機能","AI要約スライド形式表示UIの提供","AI要約データを、目次やページナビゲーションを備えたスライド形式のUIで表示する。","要約JSONデータ","スライドビュー","エンジニア"
"fun-037","AI機能","AI要約プレビューの取得（無料ユーザー向け）","無料ユーザーに対して、AI要約の概要または最初の1ページ分のみを取得する。","リポジトリID, ユーザーID（無料判定済み）","AI要約プレビューデータ","エンジニア"
"fun-038","AI機能","AI要約プレビュー表示とアップグレード誘導","プレビューデータ表示後、全文閲覧を促すアップグレード誘導メッセージやUIを表示する。","AI要約プレビュー","プレビューUIと誘導メッセージ","エンジニア"
"fun-039","AI機能","AI要約のオンデマンド生成要求受付","課金ユーザーからの未生成リポジトリに対するAI要約生成要求を受け付ける。","リポジトリID, ユーザーID","生成開始メッセージ","テックリード"
"fun-040","AI機能","オンデマンド生成要求時のクレジット/制限の確認","オンデマンド生成要求時に、ユーザーのクレジット残高または月間生成制限を確認する。","ユーザーID, コスト","残高チェック結果（許可/拒否）","テックリード"
"fun-041","AI機能","AI APIを呼び出しリポジトリ概要を生成","リポジトリのREADMEやメタ情報に基づいて、外部のAI API（Claude/GPT）を呼び出し、構造化された要約を生成する。","リポジトリ情報テキスト","AI生成要約JSON","テックリード"
"fun-042","AI機能","AI要約バッチ実行トリガー管理","週次で、注目のリポジトリ（週別トップ10など）を抽出し、AI要約のバッチ生成処理をスケジューリングする。","週次トップリポジトリリスト","バッチ実行指示","技術選定者"
"fun-043","AI機能","週別トップリポジトリのAI要約自動生成","バッチ処理として、抽出されたリポジトリのAI要約を自動的に生成し、DBに保存する。","リポジトリIDリスト","AI要約データのDB保存","技術選定者"
"fun-044","UX/拡張","言語フィルタ設定のブックマーク誘導UI表示","ユーザーが特定の言語フィルタを適用した際、その設定を保存したり再訪しやすくするための誘導（UIヒント）を表示する。","言語フィルタリング状態","誘導メッセージまたはボタン","エンジニア"
"fun-045","UX/可視化","グラフデータのツールチップ表示","スター推移グラフ上において、ユーザーがマウスオーバーした際に、特定日の正確なスター数と日次増加数を表示するツールチップ機能を提供する。","グラフ上の座標","ツールチップ（日付、スター数、増加数）","エンジニア"
"fun-047","拡張","リポジトリのお気に入り状態のローカルストレージ保存","ユーザーがリポジトリをお気に入り登録した際、ブラウザのローカルストレージを利用してその情報を保持する。","リポジトリID, お気に入り操作","ローカルストレージデータ更新","エンジニア"
"fun-047","拡張","ローカルストレージに保存されたお気に入り一覧表示","ローカルストレージに保存されているお気に入りリポジトリの一覧を、認証状態にかかわらず表示する。","ローカルストレージのお気に入りリスト","お気に入り一覧ページ","エンジニア"
"fun-048","情報提供","リポジトリ詳細ページでのトピックス情報表示","リポジトリに設定されたGitHubのトピックス（タグ）を取得し、詳細ページに表示する。","リポジトリトピックスデータ","トピックスラベル","エンジニア"
"fun-049","課金/拡張","Stripe Checkoutセッションの生成とリダイレクト","ユーザーが課金プランを選択した際、Stripe APIを呼び出し、決済を行うためのCheckoutセッションを生成し、ユーザーをStripeへリダイレクトする。","選択プラン、ユーザー情報","Stripe Checkout URL","技術選定者"
"fun-050","課金/拡張","Stripe Webhookによる決済イベント受信","Stripeからの決済成功/失敗などのWebhookイベントを受信し、データの整合性を担保する。","Stripe Webhookペイロード","イベント処理結果ログ","技術選定者"
"fun-051","課金/拡張","決済成功時のユーザー課金プランのアクティベーション処理","Stripe Webhookにより決済成功が確認された際、ユーザーテーブルの課金プラン情報（plan, subscription_expires_at, credits_remaining）を更新する。","決済成功イベント","ユーザーDB更新","技術選定者"
"fun-052","データ処理","リポジトリ情報マスタの正規化・更新","日次データ収集バッチ実行時に、リポジトリの基本情報（言語、オーナー名、URLなど）を最新化し、DB（repositories）に格納する。","GitHub APIレスポンスデータ","repositoriesテーブル更新","技術選定者"
"fun-053","閲覧","言語別ランキングのページネーション","トレンド一覧（Top 100）を複数ページに分割し、ユーザーがページを切り替えて閲覧できるようにする。","ページ番号","該当ページのランキングデータ","エンジニア"
"fun-054","AI機能","オンデマンド生成要求後の生成状態通知","オンデマンド生成が完了（または失敗）した後、ユーザーに結果を通知する（例：画面上のステータス更新、または通知システム利用）。","生成結果","ユーザーへの通知","テックリード"